772889;655000;Абакан;-ok-
130954;601650;Александров, Владимирская обл;-ok-
416498;301360;Алексин, Тульская обл;-ok-
264346;423440;Альметьевск, Татарстан Респ;-ok-
634515;692750;Артем, Приморский край;-ok-
200692;163000;Архангельск;-ok-
572424;624260;Асбест, Свердловская обл;-ok-
800485;414000;Астрахань;-ok-
857963;143900;Балашиха, Московская обл;-ok-
492170;656000;Барнаул;-ok-
436915;308000;Белгород;-ok-
129787;617245;Березники, Пермский край;-ok-
349288;659300;Бийск, Алтайский край;-ok-
118191;675000;Благовещенск;-ok-
446812;301801;Богородицк, Тульская обл;-ok-
485770;664899;Братск, Иркутская обл;-ok-
313156;140170;Бронницы, Московская обл;-ok-
104933;241000;Брянск;-ok-
204965;173000;Великий Новгород;-ok-
781579;301320;Венев, Тульская обл;-ok-
944387;690000;Владивосток;-ok-
471859;600000;Владимир;-ok-
368746;400000;Волгоград;-ok-
119257;347360;Волгодонск, Ростовская обл;-ok-
294239;169900;Воркута, Коми Респ;-ok-
622116;394000;Воронеж;-ok-
637278;140200;Воскресенск, Московская обл;-ok-
764843;427620;Глазов, Удмуртия Респ;-ok-
425485;649000;Горно-Алтайск;-ok-
118371;433500;Димитровград, Ульяновская обл;-ok-
172404;141800;Дмитров, Московская обл;-ok-
156613;141700;Долгопрудный, Московская обл;-ok-
211747;142000;Домодедово, Московская обл;-ok-
889049;301760;Донской, Тульская обл;-ok-
478385;141980;Дубна, Московская обл., Московская обл;-ok-
497183;620000;Екатеринбург;-ok-
125904;153531;Железнодорожный, Московская обл;-ok-
962604;140180;Жуковский, Московская обл;-ok-
994904;994904;Зеленоград, Москва;-e-
381049;456200;Златоуст, Челябинская обл;-ok-
170934;153000;Иваново;-ok-
331537;141280;Ивантеевка, Московская обл;-ok-
242773;426000;Ижевск;-ok-
661353;664000;Иркутск;-ok-
203341;424000;Йошкар-Ола;-ok-
535597;420000;Казань;-ok-
628418;236001;Калининград;-ok-
960639;248000;Калуга;-ok-
943845;623400;Каменск-Уральский, Свердловская обл;-ok-
636573;650000;Кемерово;-ok-
